DATETIME,open,high,low,QUANTITY,1,2,3,4,5,6,7,8,9,10,11,12,RATE,IBS
2022-02-24 14:55:00,160.38,160.38,159.62,-9055,-9055.0,-5522.0,5300.0,5729.0,11734.0,16780.0,22892.0,23003.0,11397.0,14144.0,8227.0,12782.0,159.62,0.0
2022-02-24 15:00:00,159.85,160.03,159.64,-1874,-1874.0,-10929.0,-7396.0,3426.0,3855.0,9860.0,14906.0,21018.0,21129.0,9523.0,12270.0,6353.0,159.73,0.23076923076923078
2022-02-24 15:05:00,159.69,159.81,159.36,9869,9869.0,7995.0,-1060.0,2473.0,13295.0,13724.0,19729.0,24775.0,30887.0,30998.0,19392.0,22139.0,159.41,0.11111111111107602
2022-02-24 15:10:00,159.4,159.4,159.07999999999998,5036,5036.0,14905.0,13031.0,3976.0,7509.0,18331.0,18760.0,24765.0,29811.0,35923.0,36034.0,24428.0,159.39,0.9687499999999417
2022-02-24 15:15:00,159.36,159.59,159.33,4474,4474.0,9510.0,19379.0,17505.0,8450.0,11983.0,22805.0,23234.0,29239.0,34285.0,40397.0,40508.0,159.56,0.8846153846153763
2022-02-24 15:20:00,159.59,159.60000000000002,159.33,-929,-929.0,3545.0,8581.0,18450.0,16576.0,7521.0,11054.0,21876.0,22305.0,28310.0,33356.0,39468.0,159.37,0.14814814814811306
2022-02-24 15:25:00,159.33,159.41,159.21,2940,2940.0,2011.0,6485.0,11521.0,21390.0,19516.0,10461.0,13994.0,24816.0,25245.0,31250.0,36296.0,159.27,0.3000000000000284
2022-02-24 15:30:00,159.24,159.75,159.1,3036,3036.0,5976.0,5047.0,9521.0,14557.0,24426.0,22552.0,13497.0,17030.0,27852.0,28281.0,34286.0,159.53,0.6615384615384663
2022-02-24 15:35:00,159.49,159.92000000000002,159.25,-415,-415.0,2621.0,5561.0,4632.0,9106.0,14142.0,24011.0,22137.0,13082.0,16615.0,27437.0,27866.0,159.92000000000002,1.0
2022-02-24 15:40:00,159.9,159.9,159.33,749,749.0,334.0,3370.0,6310.0,5381.0,9855.0,14891.0,24760.0,22886.0,13831.0,17364.0,28186.0,159.53,0.3508771929824404
2022-02-24 15:45:00,159.55,159.93,159.45,-9075,-9075.0,-8326.0,-8741.0,-5705.0,-2765.0,-3694.0,780.0,5816.0,15685.0,13811.0,4756.0,8289.0,159.93,1.0
2022-02-24 15:50:00,160.0,160.81,159.95,-3925,-3925.0,-13000.0,-12251.0,-12666.0,-9630.0,-6690.0,-7619.0,-3145.0,1891.0,11760.0,9886.0,831.0,160.53,0.6744186046511667
2022-02-24 15:55:00,160.34,160.75,160.13,-6997,-6997.0,-10922.0,-19997.0,-19248.0,-19663.0,-16627.0,-13687.0,-14616.0,-10142.0,-5106.0,4763.0,2889.0,160.67,0.8709677419354647
2022-02-24 16:00:00,160.63,160.63,160.12,-10222,-10222.0,-17219.0,-21144.0,-30219.0,-29470.0,-29885.0,-26849.0,-23909.0,-24838.0,-20364.0,-15328.0,-5459.0,160.48000000000002,0.7058823529412158
2022-02-24 16:05:00,160.42000000000002,160.81,160.15,5952,5952.0,-4270.0,-11267.0,-15192.0,-24267.0,-23518.0,-23933.0,-20897.0,-17957.0,-18886.0,-14412.0,-9376.0,160.81,1.0
